"variant","driver_id","ride_pre","ride"
"control","0097b9eb-1c61-4e7c-a9f1-4b853d46493d",93,99
"test","3d875534-7099-4abd-affb-a06b183ffcea",76,66
"test","80c56ded-2987-4252-9126-e8011d96856c",144,146
"test","34acf19f-0e85-40c0-bd72-208310bbbc7f",137,152
"control","e59df920-6bbb-400c-9353-d082c27fe87b",131,138
"control","a7c2135f-442a-41c3-b780-868ea4c5f053",103,106
"control","2c102815-3082-4cbf-8fc6-a468de52b475",117,105
"test","7d6929c4-6e02-45b5-89d6-faa7606e67a0",93,98
"test","06398852-abb7-41e8-b63b-41064413e015",106,112
"control","101356c3-7d09-42a3-94b2-7176e534e591",101,153
"control","998f0059-9bc6-40c2-8e46-5bf60c863d20",107,126
"control","59ad7b6b-1b4b-4f18-bee3-9b61ec20fee8",63,59
"control","cc5936a6-9c78-4112-b2da-d7c9836f7f73",155,137
"test","5d0bc1b4-3a98-4d59-b98b-11600e300228",150,144
"control","b4451e41-7fb5-4731-acdb-c43cd9cf1666",93,91
"test","4b7b1868-9ead-4437-8b52-00fa438484f4",84,76
"test","826c6278-a3f0-43ab-a0df-762c28f59a06",74,77
"test","0df5ff04-8b81-49b0-8aa0-6d49d1a2415e",153,152
"control","fb1fa587-a5a9-42f2-8fe5-bf0c98e222da",100,94
"control","75de0b49-25eb-43d8-b025-b6a3af4207bb",103,89
"test","990ac377-3fc1-47b5-9b50-f256ba3cfcb5",51,44
"test","038b1115-8aa6-4c26-976b-0b4a1e613833",62,75
"control","bcea0c09-7acc-433c-a216-5cf58ccda419",69,93
"test","d7e8f4aa-f0c1-44b7-9089-b6a380cc8c04",108,111
"control","9db10663-965c-4818-9ca7-e0c5def6a5e6",125,126
"test","392168b3-720c-4334-8723-defb0693ab77",89,85
"test","5998583e-6296-4585-af7d-900838530e65",116,121
"test","a4e828c0-9483-436c-beb3-e5e95a427aba",62,57
"control","51b90769-6d61-41f2-ac92-a5c3790eeb0b",136,151
"test","c69fa8ce-821c-40f8-9520-fa3aa050753f",49,54
"test","e1cc4afa-6cd1-469e-98c8-266d07ee1c9e",112,145
"control","d3b93745-116e-42f0-94ec-47ee5073375c",83,92
"test","56bd7360-577a-4124-a3ee-fdd5ba3a767d",70,79
"test","560c5173-2977-40a1-8ef8-fa58c6db7e4e",127,134
"test","9d209206-b374-4e80-8198-197eb9a0185a",95,122
"test","f4609d44-db0f-4413-971a-d56099ab078d",121,125
"test","80c05943-123c-4925-a29a-95e6a05ebd40",116,130
"test","29d130cd-6203-4e1c-9f46-d9625d8f1c31",88,102
"test","8c7c64f5-8733-4204-905e-e554c0723a05",94,76
"control","ede4cb86-dbed-4263-aa62-31aa1720d11f",58,43
"test","fe808e1d-9071-4f59-8a65-e9d6296ccb1a",56,59
"control","df8a3490-2021-49d4-884f-608b6c4ae808",126,118
"control","5eefe84d-da76-4284-a7cb-6f8183303dbd",119,116
"control","2ac52a8d-9042-473e-ba73-74d8fc940911",104,124
"control","b9948cd8-a1a0-4b59-9bfa-bc531db3cbfc",80,54
"test","b9f2c079-6b1c-444e-a23b-f8e549c390d5",96,74
"control","3563794b-09f8-4ac4-92ce-f984a729049e",92,68
"control","4e25ee3e-0a07-4639-8b15-c4a775315efc",94,104
"control","158edada-289f-498b-a526-8dc7ff5bd1d0",130,142
"control","f954b275-1260-4dc7-ae21-393bc4b4f153",100,98
"test","7ff12520-5753-42e6-b9aa-353f3e0ee9dc",43,56
"control","457e0c89-3596-4d04-b64e-f4762b2bf1b9",138,112
"control","a6d4d488-bf50-460f-8729-a5404e26a37a",55,64
"control","4a58f845-6e1a-4cc7-8cee-cc10e73c74e7",87,66
"test","4a10ed34-e61c-4d48-be2f-c9867b409e9c",138,141
"control","8e7e7c93-4a06-4acc-beb5-bfbb6436c679",136,120
"control","a9baf09d-dcd6-4a10-9305-c37d9ad7ea8b",139,152
"test","e41bb0c2-06a1-43d2-a6f2-998784ddf15b",107,128
"test","fa35b746-e896-43c6-afb2-60c7de776df9",116,86
"test","ff3eeeac-9cb9-4c3d-afe8-de5f776853a0",101,99
"control","949a5b3e-224e-43dd-a6d7-4d5b21c6835a",149,147
"control","1e68f7e2-04ad-416c-9943-5bda36b0cd33",55,68
"test","eeac884e-4339-422c-937f-608faf1c4b35",69,93
"test","c2e46c94-069d-42f7-90cb-d8b0b5268592",NA,119
"control","fa32b5a6-d097-4b77-b85f-3fe91e235fe5",123,133
"control","7f348031-2515-45df-b2ff-f93e6f4bf6d8",46,56
"test","9a6f1793-96f6-49e0-a5dd-a6b033174d95",67,66
"test","3efacf74-9693-468d-b78e-7bb11b6b37ca",116,105
"control","59f63780-6095-47b3-8863-383ec3fef77c",NA,105
"control","3fd9ffde-02ba-4ca1-8195-615b7460c4d9",127,127
"test","4415cb17-4afc-4e84-9a3b-07ea8e5bf33d",70,63
"test","3333d2f2-699f-4ae3-aadf-8b0bdb9e7e93",144,154
"control","78aa3d33-8db2-4f41-be18-eb51de1c0ea3",68,62
"test","281d42fb-aed7-460e-9051-2e643b52a54d",140,139
"test","52dd1da3-5216-447c-bf19-22ab7a45eba4",79,81
"control","54fb9320-6c00-4126-bf2e-ba8a02018336",77,114
"test","9f89f1b9-0d2a-45d5-adf0-16e47023aaa3",66,76
"control","eb2a9e6d-ee06-451f-b3ca-59baea72a029",151,144
"control","d11da65b-194c-47b0-91c8-1e3082c9e9eb",139,141
"control","6b118546-7d42-4988-87d4-bf142ea33bc6",143,144
"control","25d796c4-3962-4c60-b376-de65d37f36ff",102,103
"test","35316a5d-66cd-4785-be36-25fafc9bd99d",141,140
"control","1d155c37-2dbc-49a7-9733-8fc77a85e3e2",112,110
"control","418f8591-b083-41c5-9037-6a9f1e9f3b4d",73,84
"control","2baa323e-376f-4535-8705-caedc62f9450",108,97
"test","715ae93a-664b-4029-aa5e-a7593ec7b18c",83,100
"test","936be6bc-08a8-4fd1-8fc5-fe667f31360d",142,138
"control","688f5ae9-ebed-4df6-8b6b-6a47a4c99783",126,112
"test","d2fc2803-7a73-4bcc-ad2d-57136703f21a",72,76
"test","a6a8f11c-c2f0-47ee-b7be-1a44cae19f3c",95,117
"control","32ad3a65-b328-43e9-9a5e-eb3842b4c1b8",100,101
"control","658006aa-78d0-4a3f-bd2a-ffc0204ef34d",100,105
"control","fa5b4ed0-237f-4c5e-863b-0f4d7c525f41",87,71
"control","98721ad6-2f30-4e51-8f92-0895e55c9779",109,100
"test","9c478b0c-c648-4462-8252-e42fb3a9567f",93,104
"control","02d01347-676a-41c9-8ba2-1ac990d9ce93",148,141
"control","766af67c-7d3e-4fc8-8988-f6c2b07b672a",100,85
"test","90860230-87b3-4910-81d1-2b22ad2a84cc",NA,102
"control","f76f8810-456c-4327-a50b-e4b3667ff490",122,106
"control","10691aae-8907-4963-ab0a-011b36cc01dc",143,119
"test","90c2d203-d5d3-49fd-81c7-95137477f867",75,92
"control","ce85438e-c330-40e9-a594-ef1437080e31",58,58
"control","e37aa05d-c6a0-4a8c-bf3e-e96fe2a57c95",95,101
"test","591d619b-8510-4950-8a3e-43765155a555",NA,154
"test","1444def9-0c7c-49cb-88d7-9754cbeff0aa",101,97
"control","2b58218d-0ed8-452c-8cc8-05b490a0db9a",118,130
"test","cd892984-3edd-4f10-b28f-bf2be2459126",79,95
"test","c7cbfdcb-9f05-452c-ae0e-0170bd1bcb60",94,102
"test","bb39c812-6539-4611-9ecb-a5cca1e1866d",85,101
"control","feb9f660-8f7e-4c30-b443-6cb0ba44bdfe",49,49
"test","e7a60eaf-ef39-4cc0-8dcf-1317ecf7dcbf",127,125
"control","3d4998ac-3cde-406c-ae7d-8684791af1b0",134,151
"control","055f00a5-fa32-4c76-9832-bdafd99531c2",104,94
"control","c9040648-bf94-4a9a-a9b0-2e60d20362a2",78,93
"control","9b185482-9ced-44a4-b804-a6d8cebc5a6e",134,122
"control","73c1fd9a-3a23-4823-ad72-e7b5dbe48129",116,121
"test","accbb83e-7f23-46b9-b681-e43ae5fc3620",73,78
"test","e3c743fb-6f7b-4220-8796-2e857fe58ca3",63,64
"control","e563e3b3-37ae-4703-886e-4cfefe3a56c9",100,94
"test","6143ef3e-a06e-4c7a-bc4a-046a38e0f032",126,114
"test","5e5000c9-658e-40c0-ad5e-aeb31f1f8f9e",126,144
"test","8d3f44ac-6a60-4c88-9caf-1888b2b794e4",100,88
"control","13823e9a-dca2-4bd8-8c75-eabbe5da64c5",85,77
"control","e05ec098-9c22-4f2d-87c2-758e9e190df7",110,93
"control","32e07690-9d1c-4c39-a805-40253551be0f",49,47
"test","41bf4051-e6f8-4a49-b180-794c6fc98c4e",118,134
"control","9f7254c1-d501-4011-bdea-0c42e806c94b",120,135
"control","023b548f-f7ed-4be8-a8ec-9e21fbb86a43",106,86
"test","710757a5-5907-4547-a831-21aaa6db1159",58,65
"control","b47cd029-61ae-476f-bb74-6c87759541e5",148,121
"test","132c2d7c-275c-42c1-a2ab-7f1056c8b33c",74,71
"test","b085207c-b628-405d-ad3e-b7361b6f5d72",106,118
"test","57f8b978-3138-4e96-90bd-1badfc644aac",52,65
"test","5cd48e6d-9737-477c-92c8-bf1817c2ca69",141,124
"control","815aa2b2-671e-4ff8-b8ab-c24e2de02cba",94,84
"control","dfbe7948-83a2-42a9-92da-d128c1c5e375",80,81
"control","31a77093-62e8-43ba-9b51-cbcda3609329",102,92
"test","54f30129-b3d3-4631-be64-e45c6c8ffa38",135,169
"control","dc587076-af5c-4bd8-87c3-c8b308e061e7",106,121
"test","21e8d7ed-5abe-4cae-8c70-d20904bade87",122,121
"control","6d17eae0-333d-4557-ab14-527ea03ea9e7",64,56
"test","bfe0c9ba-749f-4119-b6b4-99c3a3d45cdc",81,62
"test","46d76e7e-b2ed-4167-abf8-4a64a1168456",130,137
"control","99fcb0ba-970e-433e-a9ea-77fbafc7f3d5",56,44
"test","5592894d-80d2-4b95-9b7f-53d73c7de888",144,141
"test","209b50d3-137e-48e8-9d5f-43dec902875c",80,91
"control","4380485b-3593-41e5-ab67-7a635c4b194a",68,74
"test","fdc1b4fe-e612-4c88-8472-2b3cadaae726",123,86
"control","5b82e89f-7840-4e2d-86f6-ea7f344b30d6",54,66
"control","1c623958-2625-4790-a7f0-1d19df5bc83e",151,133
"test","d48b5179-3469-4144-b2eb-10afdef097b9",145,138
"test","f3f84903-b6fc-494f-8226-4e753795f4b0",121,142
"test","f70d6cd4-7cbf-4a78-bd8f-4e0889790f86",127,122
"control","7c2b4400-2e29-4fab-926b-d6475d3366cd",74,54
"control","e6b2f76f-9f78-4075-ab9c-13c8d87c6938",57,68
"test","cc196e58-d22e-4c64-a486-27e4fc065b20",111,113
"control","87ebddeb-23cf-4b41-8922-dc6fe754bbc9",132,132
"control","1f5570b2-9d7f-4043-aec4-66140d01350c",NA,73
"test","c62c8f8a-356b-4edf-84a9-083744faf65f",127,110
"control","0f9fdaaf-ba69-49a6-b1e5-5ca44c285694",128,122
"control","eadd1a42-f6d4-42ed-b4bb-33d02810c3a6",55,71
"test","4004eca1-d610-4755-9196-3aec6fc1b529",85,75
"test","bf807a58-a2d4-4788-8a66-bee2bba45862",65,84
"control","a413a5bb-da45-4119-8335-c9071dff20a0",122,131
"control","1cff9fd4-9ba7-42a9-a7ec-bd2706b147f4",92,77
"control","5a7b5443-29ce-49a0-84f0-446f80de064c",44,55
"control","1e2ba133-219e-4580-8fd9-ce148fb185ee",124,131
"control","64bd3547-a17e-468d-b8a0-ea1d799c97ec",74,76
"control","bb0aadaa-d45f-44e2-bef9-b9b1e6b2e130",109,108
"test","daf92192-0b28-44d3-908e-97d053808967",60,56
"control","64eb44c0-2bd4-4d74-b992-907b45fa2c3d",126,99
"test","627a128f-6a91-4f50-ba0d-942824da0648",51,50
"control","f3b9a4ed-764c-476c-97ad-67a2dba54c6d",35,49
"test","b0b1cd97-d1b6-4a71-a2bb-014f8556bdb5",158,134
"control","11133fe8-dd96-4758-983e-a71ef2764918",58,58
"control","9d3f6102-4e1e-442c-bf73-769a135ea331",55,95
"test","333476e6-fdbd-4983-a3ea-6613a5820cb6",106,90
"control","ac0eecad-e0f5-42db-ad9d-71f219921f19",147,158
"control","b744a962-4835-4982-bd88-9cf5e109144d",124,129
"control","65646b74-5631-44fb-a7cb-f563a36b4dee",143,140
"test","0b7efcee-27aa-4407-bd71-08423b3355f2",101,112
"test","85a3389e-0da3-4804-a5d1-84888e460056",68,78
"test","611567a3-3b35-4b26-a97d-84d18ecbc187",122,125
"test","18853970-770a-418b-ba23-e699c61d0b66",76,93
"control","af01526a-9e18-46de-80b1-931409be2df2",113,133
"control","3bd2f147-8c10-4933-8da2-29a04adae287",95,78
"test","7c01608d-9d4c-4b38-a5f2-9e88f77de0d8",85,85
"test","8df302bc-b3d3-49f6-87d6-a2e23c0bb765",NA,144
"test","35e53a7c-bacb-40b4-a366-c7c401cba134",90,88
"test","0e395a57-3428-4000-9c39-d1cf92dd2387",150,146
"control","8da66092-63e5-421c-914d-00f98f177016",137,140
"test","90ac1acb-28e4-416e-ad62-9b7105859f61",109,94
"test","e4e7bcfe-1bb1-41a6-b135-5c4eb02a074c",55,67
"control","e0f358c2-c39d-4914-b74d-e49a7b1f9878",94,100
"control","606a7b39-9116-4dde-a0e3-1e403f6a45ca",131,135
"control","fb3d3519-8b28-45a8-b70b-17d090fd8d6e",112,114
"test","e30e5ba7-2151-42f8-92df-404e7abcd3f6",96,93
"control","295e7ece-ad98-4c73-9282-6747489ae067",73,79
"test","a7d52ba3-c9b0-4e3c-9109-5b25d053c7b9",78,69
"control","7ae26ec5-dcc9-44fb-8634-c3e55b665ea8",93,120
"control","59dc4cfb-0a58-46df-a785-773633d762bf",131,95
"test","45d59fb3-cafc-4477-9d83-cd38a64255ba",85,94
"test","437e67cd-8bbd-43e2-9fc8-0751039850c1",57,48
"test","7b5f59c3-debb-41af-9912-a4fe2ced7bcc",83,78
"test","085434d6-6cfc-44ce-82b5-b78e64791fcc",85,86
"test","df1bc378-0100-44d8-b3ae-2c948ed63efc",110,117
"test","2aa879c4-f468-49d3-96ec-60ffb7be9a11",133,95
"control","bc6be95b-6224-45ba-8202-ff34317be9bf",55,62
"control","a3548e96-2b98-4d78-866b-12944133358d",89,112
"test","519258d9-052b-4347-a860-c063cf59b335",65,84
"test","d8236b3c-63b8-4c5a-b68a-aec573a443d3",91,119
"control","50b6ff21-3813-41ab-a2bd-1b548d66cd63",121,128
"test","1ba0981f-d796-4992-9d0f-4391bac9a50d",116,119
"test","fc54d24f-8e24-471d-aa16-f767318e27b4",124,155
"test","1398bdd8-3cd1-4422-ae34-a7a5ba497f8b",105,166
"control","2a7974d5-ca09-49a1-8559-c329063256f2",84,103
"test","9137731b-1f8f-4698-a7af-fee1081a40e1",73,82
"test","90470a9d-9409-4a1a-8a4c-7f5f232287fb",90,82
"test","ad09f931-88cc-4d0c-82b6-21fab3860382",47,46
"control","fe7fe961-3e2d-4374-9023-11761c87a4ef",134,107
"test","e94bafca-d719-462c-9ab6-cfde609de972",117,108
"control","0f03750f-d631-4f3d-8404-e25a9c2ecba6",71,70
"control","318bc314-4dd3-4589-8cd8-21a634f0c765",115,115
"control","3f5575ab-7550-4756-b23c-611d5ee58c30",54,63
"control","35c946ef-1da3-4635-b12a-d522ecfc6b63",134,106
"test","4073040b-e045-4e25-b8ea-8b95d023a282",48,46
"control","d8108b5f-4199-4de0-ba25-f4efa4f779d2",135,125
"control","da88cccf-a291-4edb-bbd3-a6c2e157a244",95,100
"test","9576cbf6-e384-4019-be90-2668d2c0fbf0",134,149
"control","8dc5efae-384a-4a9e-b301-497382b4472b",90,86
"test","5ddec3db-d99a-4897-9ed4-eabcabe74132",137,127
"test","e8e49c94-9d70-4b8e-8518-be84560d051d",147,144
"test","37ba7b06-644a-4489-8701-302774c1434a",79,74
"test","b726e649-16ab-4a25-9096-cbdf929c5892",111,87
"control","cd756ab5-9499-40b3-9f92-553c22931272",105,119
"test","02545518-6884-4743-a2aa-7478d40448db",NA,68
"control","faa9554e-036a-4032-b992-471963dd57d0",62,66
"control","0ba14b14-2b48-4a36-a565-05487fa94153",54,62
"control","402b15e6-60a4-4923-afeb-cd03dabe31e2",122,136
"control","b64f7b63-9701-443e-845a-23419cff00d8",113,88
"test","651e9470-37e7-4250-aa0c-e4e20e2b8adf",112,106
"test","f5eaff38-f645-4177-84bd-5650bfa39538",NA,133
"test","ac768909-b212-4e6f-9317-14ba9fcfb68d",140,147
"control","1f535326-872e-4a82-bf77-0ca1163fd8b6",77,69
"control","7411ab04-d01c-473b-8bc8-f166013f3c82",107,94
"control","d1822519-32ad-4715-ab67-222b622511fc",142,147
"control","f3881a5b-1ae0-4efd-a75a-0a0ffc7a7a5c",66,67
"control","c87fc20c-69c0-44e6-ac44-435df28dc89e",66,56
"control","2c942bb3-5150-4948-a8ef-ca925a09a5db",63,58
"control","845a1532-368d-4969-8376-03b95e786453",59,34
"test","553d71aa-8db9-41e5-95fa-5e69dc528ad4",130,114
"control","2645f1e7-bbf5-4fc7-a6c0-82c444c32923",52,72
"test","6ad75f97-f647-4e9d-ac1e-3ccb6e89f30e",138,117
"test","1af4c86c-aed6-4933-acce-e287b986effa",91,65
"control","0a65a5b8-6af2-4497-885d-0bf0e075676c",53,73
"control","216791c4-7b73-4df2-81c5-9f0e2f0de01c",136,152
"control","9505e0ce-010f-454b-ae81-fac76ae69331",122,121
"test","fcab5de9-3190-4d72-99e9-9f06d8566d1c",48,52
"control","343826b8-3d5a-448c-990d-02b8f38e11be",95,77
"control","a587fcd6-005b-4841-84b7-94513d21895c",137,144
"control","7820ef5e-416c-472d-b353-79f0ec057b1c",52,66
"control","f21582bd-97f5-4bdd-9294-58784137a627",72,55
"control","9a900e8a-44a5-4e0f-9123-6a13fa47bd6d",78,80
"test","cd7660da-b8e3-4ec2-8fb8-eef286ae9354",64,56
"test","1a554340-1b73-4726-9038-7d3ef1c4446f",127,111
"control","806b04cd-3375-4e0c-8404-dca075706ac5",131,122
"control","b3eb2139-34be-48ef-b04d-6ab0ff23be8c",99,104
"control","68d07a3f-a4df-46df-9a3e-e1b9bf76d970",112,110
"control","ec74dcde-85b5-4dca-b725-0e7e786b54c2",96,80
"test","1810f067-6272-4ac4-871c-d2956672c04c",38,44
"test","2b3e880c-0536-4d2d-9399-04e899029422",140,152
"test","68fba245-179b-4726-b9e5-d112463731a6",94,107
"control","8de84b38-66ce-4eee-900e-612b36d371f7",145,144
"control","217b28e9-8301-497b-82a7-fd5c1f1f594c",140,142
"control","1babbdfe-776e-417f-b155-26db82c0d480",122,126
"test","9f467a7f-cd8d-4186-af41-59d4d4eb8be1",92,85
"test","bf3033d7-3c4c-4be4-bfc4-39006159e777",99,91
"control","fbb90775-1a94-4e17-9ccb-a2b284ac1eb8",72,72
"test","f2131e95-3601-4374-a1a3-965c4902cc07",133,137
"test","6bc65ce9-67b7-4770-9268-efa9f4a34631",57,49
"test","706775b4-ac14-4f6c-bff5-4ea2f67080ef",66,74
"test","c30ece27-fd71-4cac-9154-cf252218a477",55,79
"test","6e6dc585-3a68-4fdb-825e-7bc11762cd84",82,97
"test","afead551-e4da-4c00-9b30-25c9c63b1f68",152,135
"test","ce1ce5d3-dccf-4dd6-886f-94cea34b6b8c",63,72
"control","737c5449-00f0-4536-9c0d-2a414f70666f",100,106
"control","444a0ecd-9ca1-483e-ab92-35045a638fdf",142,153
"control","bede5c72-1c24-42a8-9d32-fca4335fbb6e",55,65
"test","94a7e950-7715-4dfc-810c-63234cfe5aaf",125,161
"test","4fb4b9f9-17c7-40d9-993d-a3bc38158788",76,72
"control","0ce54474-e96f-47f7-9074-dd3b9e255168",161,155
"control","42c236e3-1eb6-47de-8404-c0bf9e5d222f",114,81
"test","7536cbc2-c77b-4d8b-bc36-92186d3db485",73,77
"control","d70a6bcb-be0c-43de-840e-a9233d4419c4",128,120
"control","5a28c176-8f66-4640-b274-c1cee0f05297",104,102
"test","09414846-7685-40a1-9d46-a216f6e59a36",88,85
"control","b641bcc7-0793-41d0-abc8-8a1628f2427d",92,103
"control","8c200370-dbd4-43eb-a598-a0a796e1c076",44,66
"test","231760ff-8396-48bd-9171-7cd4c06ee588",NA,142
"control","d1d8fd84-51ee-415d-a1bd-105e75c9d9ca",150,150
"control","f11cf6ed-2363-4227-82ca-299d702cdd67",108,102
"test","0ed5723a-9646-4fea-a8b6-a348711857fb",112,144
"test","b67ffb40-8b4c-4349-ae17-ab1ab3f441ba",143,110
"test","ee7f6133-1e0d-467d-9e25-600b64db677a",51,58
"test","2b6e5af4-ac65-497e-9766-0274b31a8867",163,139
"test","8194576b-0dc6-4dfb-b3f1-3bf7800cf4b7",91,106
"test","8c2daaf4-2c05-47ab-891b-6176f6873834",60,57
"control","ff08811d-559e-49a3-a19f-a71928245cfd",95,80
"test","af31ad05-6bce-4666-8d77-81b2113f2bd0",58,72
"test","a4c3016e-70a5-4580-9484-cce1e989ca88",127,140
"test","e6193941-5915-4682-8bae-8d0226172a41",104,108
"control","4496a9df-171a-4797-a895-d7b38dcb849b",85,62
"test","b3b39407-b8d6-4615-a3bd-f0b9ebc07fe9",104,104
"control","03ce7e5e-c9b6-45a8-bc11-83aff977e71c",47,38
"control","9d1d3099-68e0-4d5a-b39d-fdf2c2c6d182",NA,77
"test","ad0ff6a1-1947-458e-b02a-47feb316dbf3",133,115
"control","e3df8cea-d9f5-484f-bffe-27a42edace95",75,73
"control","a0ef361b-db0c-4a54-bc10-9af7359dd696",94,95
"control","9944a870-f129-40a2-8e8c-8a1fb26717be",114,140
"control","f5b20a55-2d05-4ad8-9b11-250b378bab34",118,107
"test","ed0a034f-31aa-40ff-ac5b-9d51654b2951",166,126
"control","a82805cc-c9f7-4bfe-9045-743a9937fb46",113,93
"control","76552e09-413b-413e-9082-77886d25b86e",107,115
"test","50f880bf-7e07-4eb8-b485-5d3de7aaf65f",61,57
"control","e70a3f30-45d5-411c-8663-a76b258c5353",128,102
"test","cf3c40bc-4750-485e-bdce-cece34999a04",145,150
"test","85d2c688-5d8b-4030-91d9-0691f47dfa8a",132,143
"control","43adad82-ea98-47df-a17f-dfd6cb9c712b",50,50
"control","1e52929b-2329-4586-9b93-c8378e9c586b",45,68
"test","d9806c0a-8c70-4683-b5c4-e2474078bc40",113,124
"test","ca87556b-a649-4209-a953-8417e1417546",120,114
"test","cca5ccbe-6f04-4c11-88f2-6b1c30758bb4",59,83
"test","8bfdfbfa-0d1b-44f7-85e1-f90fee0acdc1",144,147
"control","8ff5a824-bb18-408b-b8f0-ee467d6ab735",63,67
"test","77f2cb3a-4113-498f-90dc-9308d5d93cd1",55,59
"control","ceb77687-c999-43a7-bdd6-cb32ce79240f",121,119
"control","867b3aa1-33fe-4d64-b4a5-3ebac65fcef1",107,114
"control","b9588dd3-bc35-40a3-ab9c-3b7ac9b1dc9c",149,146
"test","0928b44c-7510-45d5-8f1f-06873b21dd55",61,63
"control","893407c8-b245-4f44-9ff5-35cdeffa6ad8",124,147
"test","e1a7d69d-80bd-4fc1-aec0-13cce1d7c65d",74,94
"test","683b8936-dedc-4453-b943-6617b9df765b",118,136
"control","085d7787-8f5b-4761-b44e-ebc8be3fb097",138,130
